"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"3.3VREG";"LM3671";"LM3671";"SOT23-5";"Texas Instruments LM3671, LM3671Q 2MHz, 600mA Step-Down DC-DC Converter";"";"";"";"";"";
"5VREG";"RS1-R1D";"RS1-R1D";"8-SMD";"";"";"";"";"";"";
"ADC";"AD9283";"AD9283";"SSOP20";"Analog Devices 8 bit ADC with Single/Differential input and 50/80/100 Msps.";"";"";"";"";"";
"BATTERY";"LED_THROUGHHOLE";"LED_THROUGHHOLE";"LED_THROUGHHOLE";"";"";"";"";"";"";
"BILATERAL_COUPLING";"TC74HC4066AFT";"TC74HC4066AFT";"TSSOP14";"TC74HC4066AFT";"";"";"";"";"";
"BILATERAL_DCOFF";"TC74HC4066AFT";"TC74HC4066AFT";"TSSOP14";"TC74HC4066AFT";"";"";"";"";"";
"BNC";"BNCPTH";"BNCPTH";"BNC";"BNC Connector, Mouser Part# 5227161";"";"";"";"";"";
"BYPASS_ATTEN_MICRO";"0K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"BYPASS_ATTEN_TO_ADC";"0K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"C1_ADC";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";
"C1_COUPLING";"9.1nF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";
"C1_LPF";"4.7p";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";
"C1_POWER";"4.7pf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";
"C2_LPF";"4.7p";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";
"C2_POWER";"10uf";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";
"C4";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";
"D1_ADC";"";"1N4933";"DO41-10";"DIODE";"";"";"";"";"";
"D1_PROT";"15KEXXC";"15KEXXC";"CB429-17";"DIODE";"";"";"";"";"";
"D2_ADC";"";"1N4933";"DO41-10";"DIODE";"";"";"";"";"";
"DAC";"LTC2633CTS8-LZ8TRMPBF";"LTC2633CTS8-LZ8TRMPBF";"SOT65P280X100-8N";"DAC";"LTC2633CTS8-LZ8#TRMPBF";"-";"48T3867";"SOT-8";"Linear Technology";
"FPGA";"KNJNRS232FPGAPLUTO-IIKNJNRS232FPGAPLUTO-II";"KNJNRS232FPGAPLUTO-IIKNJNRS232FPGAPLUTO-II";"KNJNRS232FPGAPLUTO-II";"";"";"";"";"";"";
"FPGA_STATUS_LED";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";
"L1_POWER";"2.2uh";"L-USL1008";"L1812";"INDUCTOR, American symbol";"";"";"";"";"";
"LED_THROUGHOLE";"LED_THROUGHHOLE";"LED_THROUGHHOLE";"LED_THROUGHHOLE";"";"";"";"";"";"";
"MICRO";"MICROCONTROLLER";"MICROCONTROLLER";"MICROPROC";"";"";"";"";"";"";
"MICRO_STATUS_LED";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";
"OP_AMP1_DCOFF";"OPA355";"OPA355";"SOT23-6";"";"";"";"";"";"";
"OP_AMP2_DCOFF";"OPA355";"OPA355";"SOT23-6";"";"";"";"";"";"";
"OP_AMP_COUPLING";"OPA355";"OPA355";"SOT23-6";"";"";"";"";"";"";
"OP_AMP_LPF";"OPA355";"OPA355";"SOT23-6";"";"";"";"";"";"";
"PAIRING_SWITCH";"LED_THROUGHHOLE";"LED_THROUGHHOLE";"LED_THROUGHHOLE";"";"";"";"";"";"";
"POT_ADC";"10k";"POT-CHEAP_3HOLE_TRIM";"TRIMPOT:3HOLE_CHEAP";"Pot, regular or trimpot";"";"";"";"";"";
"POT_COUPLING";"10K";"POT-CHEAP_3HOLE_TRIM";"TRIMPOT:3HOLE_CHEAP";"Pot, regular or trimpot";"";"";"";"";"";
"R1_ATTEN";"33K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R1_COUPLING";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R1_DCOFF";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R1_FPGA";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R1_LPF";"13.3K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R1_MICRO";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R2_ATTEN";"966K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R2_COUPLING";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R2_DCOFF";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R2_LPF";"13.3K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R2_MICRO";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R3_COUPLING";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R3_DCOFF";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R3_MICRO";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R4_COUPLING";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R4_DCOFF";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R4_MICRO";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R5_COUPLING";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R5_DCOFF";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R5_MICRO";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R6_DCOFF";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R7_DCOFF";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R8_DCOFF";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"RA_LPF";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"RB_LPF";"16.9K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R_ENBL_VGA";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R_EN_LPF";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R_MODE_VGA";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R_OFFSET_BYPASS";"0K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"VGA";"AD8330ARQZ";"AD8330ARQZ";"SOP63P600X175-16N";"Variable Gain Amplifier";"AD8330ARQZ";"9994491";"19M1199";"QSOP-16";"ANALOG DEVICES";
"VGA_R_INLO";"10K";"POT-CHEAP_3HOLE_TRIM";"TRIMPOT:3HOLE_CHEAP";"Pot, regular or trimpot";"";"";"";"";"";
"VGA_TO_ADC";"0K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
